order_item_id,order_id,product_id,unit_price,unit_cost,quantity
1,CA-2020-152156,FUR-BO-10001798,130.98,110.02,2
2,CA-2020-152156,FUR-CH-10000454,243.98,170.79,3
3,CA-2020-138688,OFF-LA-10000240,7.31,3.87,2
4,US-2019-108966,FUR-TA-10000577,348.21,268.12,5
5,US-2019-108966,OFF-ST-10000760,13.98,9.93,2
6,CA-2018-115812,FUR-FU-10001487,6.98,4.96,7
7,CA-2018-115812,OFF-AR-10002833,1.82,1.33,4
8,CA-2018-115812,TEC-PH-10002275,188.99,136.07,6
9,CA-2018-115812,OFF-BI-10003910,7.71,4.24,3
10,CA-2018-115812,OFF-AP-10002892,22.98,16.09,5
11,CA-2018-115812,FUR-TA-10001539,236.97,180.1,9
12,CA-2018-115812,TEC-PH-10002033,284.82,210.77,4
13,CA-2021-114412,OFF-PA-10002365,6.48,3.37,3
14,CA-2020-161389,OFF-BI-10003656,169.99,91.79,3
15,US-2019-118983,OFF-AP-10002311,68.81,38.53,5
16,US-2019-118983,OFF-BI-10000756,4.24,2.12,3
17,CA-2018-105893,OFF-ST-10004186,110.98,108.76,6
18,CA-2018-167164,OFF-ST-10000107,27.75,22.76,2
19,CA-2018-143336,OFF-AR-10003056,4.28,3.04,2
20,CA-2018-143336,TEC-PH-10001949,88.95,65.82,3
21,CA-2018-143336,OFF-BI-10002215,7.1,3.83,4
22,CA-2020-137330,OFF-AR-10000246,2.78,2.06,7
23,CA-2020-137330,OFF-AP-10001492,8.62,6.38,7
24,US-2021-156909,FUR-CH-10002774,50.98,36.2,2
25,CA-2019-106320,FUR-TA-10000577,348.21,268.12,3
26,CA-2020-121755,OFF-BI-10001634,7.28,3.71,2
27,CA-2020-121755,TEC-AC-10003027,30.19,26.27,3
28,US-2019-150630,FUR-BO-10004834,880.98,678.35,7
29,US-2019-150630,OFF-BI-10000474,16.03,8.34,2
30,US-2019-150630,FUR-FU-10004848,51.75,36.23,3
31,US-2019-150630,OFF-EN-10001509,2.04,1.08,2
32,US-2019-150630,OFF-AR-10004042,17.98,12.77,6
33,US-2019-150630,OFF-BI-10001525,3.81,2.1,6
34,US-2019-150630,OFF-AR-10001683,9.85,6.11,2
35,CA-2021-107727,OFF-PA-10000249,12.28,6.51,3
36,CA-2020-117590,TEC-PH-10004977,195.99,139.15,7
37,CA-2020-117590,FUR-FU-10003664,95.46,67.78,5
38,CA-2019-117415,OFF-EN-10002986,15.74,8.66,9
39,CA-2019-117415,FUR-BO-10002545,260.98,193.13,3
40,CA-2019-117415,FUR-CH-10004218,100.98,75.74,3
41,CA-2019-117415,TEC-PH-10000486,115.99,82.35,4
42,CA-2021-120999,TEC-PH-10004093,45.99,32.65,4
43,CA-2020-101343,OFF-ST-10003479,38.94,36.99,2
44,CA-2021-139619,OFF-ST-10003282,59.76,43.03,2
45,CA-2020-118255,TEC-AC-10000171,22.99,13.1,2
46,CA-2020-118255,OFF-BI-10003291,8.73,4.63,2
47,CA-2018-146703,OFF-ST-10001713,52.99,50.87,4
48,CA-2020-169194,TEC-AC-10002167,15.0,13.35,3
49,CA-2020-169194,TEC-PH-10003988,10.9,7.85,2
50,CA-2019-115742,OFF-BI-10004410,6.37,3.38,6
51,CA-2019-115742,OFF-LA-10002762,12.53,6.64,6
52,CA-2019-115742,FUR-FU-10001706,3.08,1.6,2
53,CA-2019-115742,FUR-CH-10003061,89.99,72.89,1
54,CA-2020-105816,OFF-FA-10000304,2.18,1.29,7
55,CA-2020-105816,TEC-PH-10002447,205.99,146.25,5
56,CA-2020-111682,OFF-ST-10000604,34.76,26.07,6
57,CA-2020-111682,OFF-PA-10001569,6.48,3.37,5
58,CA-2020-111682,FUR-CH-10003968,70.98,62.46,5
59,CA-2020-111682,OFF-PA-10000587,7.28,3.79,2
60,CA-2020-111682,TEC-AC-10002167,15.0,13.35,2
61,CA-2020-111682,OFF-BI-10001460,15.15,8.03,4
62,CA-2020-111682,OFF-AR-10001868,1.68,0.84,1
63,CA-2019-135545,TEC-AC-10004633,6.99,3.91,2
64,CA-2019-135545,OFF-BI-10001078,5.38,2.74,6
65,CA-2019-135545,OFF-PA-10003892,48.91,25.92,3
66,CA-2019-135545,FUR-FU-10000397,19.94,14.36,4
67,US-2019-164175,FUR-CH-10001146,60.89,45.67,5
68,CA-2018-106376,OFF-AR-10002671,173.91,125.22,8
69,CA-2018-106376,TEC-PH-10002726,52.49,26.25,4
70,CA-2020-119823,OFF-PA-10000482,37.94,20.11,2
71,CA-2020-106075,OFF-BI-10004654,5.77,2.88,1
72,CA-2021-114440,OFF-PA-10004675,6.35,3.43,3
73,US-2019-134026,FUR-CH-10000513,129.99,118.29,8
74,US-2019-134026,FUR-FU-10003708,60.65,47.91,2
75,US-2019-134026,OFF-ST-10004123,90.98,90.98,1
76,US-2021-118038,OFF-BI-10004182,2.08,1.06,3
77,US-2021-118038,FUR-FU-10000260,8.09,5.18,3
78,US-2021-118038,OFF-ST-10000615,11.35,8.17,3
79,US-2018-147606,FUR-FU-10003194,9.65,6.76,5
80,CA-2020-127208,OFF-AP-10002118,208.16,151.96,1
81,CA-2020-127208,OFF-BI-10002309,5.58,2.9,3
82,CA-2018-139451,OFF-AR-10002053,2.98,2.15,5
83,CA-2018-139451,OFF-ST-10002370,21.39,15.19,1
84,CA-2019-149734,OFF-EN-10000927,35.89,19.74,7
85,US-2021-119662,OFF-ST-10003656,95.99,93.11,3
86,CA-2021-140088,FUR-CH-10000863,150.98,134.37,2
87,CA-2021-155558,TEC-AC-10001998,19.99,13.19,1
88,CA-2021-155558,OFF-LA-10000134,3.08,1.6,2
89,CA-2020-159695,OFF-ST-10003442,28.28,20.64,7
90,CA-2020-109806,OFF-AR-10004930,6.7,4.49,3
91,CA-2020-109806,TEC-PH-10004093,45.99,32.65,2
92,CA-2020-109806,OFF-PA-10000304,6.48,3.37,1
93,CA-2019-149587,OFF-PA-10003177,6.48,3.37,2
94,CA-2019-149587,FUR-FU-10003799,17.78,12.27,3
95,CA-2019-149587,OFF-BI-10002852,16.48,8.4,2
96,US-2021-109484,OFF-BI-10004738,18.94,9.47,1
97,CA-2021-161018,FUR-FU-10000629,13.79,8.0,7
98,CA-2021-157833,OFF-BI-10001721,21.38,11.12,3
99,CA-2020-149223,OFF-AP-10000358,12.98,9.22,6
100,CA-2020-158568,OFF-PA-10003256,11.54,6.0,7
