order_id,customer_id,postal_code,order_date,ship_mode_code,shipping_date
CA-2021-100111,SV-20365,10035.0,2021-09-20,S,2021-09-26
CA-2021-157987,AC-10615,10009.0,2021-09-02,S,2021-09-06
CA-2020-165330,WB-21850,92804.0,2020-12-11,0,2020-12-11
US-2020-108504,PP-18955,30080.0,2020-02-05,0,2020-02-05
US-2019-126977,PF-19120,10035.0,2019-09-17,S,2019-09-23
CA-2020-105732,AG-10270,68104.0,2020-09-13,S,2020-09-18
CA-2019-131338,NP-18325,10024.0,2019-08-09,1,2019-08-12
CA-2019-164882,SG-20080,92374.0,2019-10-31,0,2019-10-31
US-2019-163433,MP-17965,78501.0,2019-04-18,2,2019-04-22
CA-2019-104346,IM-15070,80906.0,2019-12-11,S,2019-12-16
US-2020-114013,SC-20770,19134.0,2020-03-13,2,2020-03-15
CA-2019-158421,GB-14575,29203.0,2019-09-21,S,2019-09-26
CA-2021-140949,DB-13405,10011.0,2021-03-17,2,2021-03-22
CA-2021-117457,KH-16510,94110.0,2021-12-08,S,2021-12-12
CA-2019-132626,BT-11680,20735.0,2019-07-09,S,2019-07-14
CA-2020-145177,PP-18955,45503.0,2020-11-10,S,2020-11-14
CA-2018-106439,GG-14650,90049.0,2018-10-31,S,2018-11-04
CA-2021-110905,RW-19690,65807.0,2021-09-10,2,2021-09-15
CA-2020-152730,EM-14140,54880.0,2020-05-30,S,2020-06-04
CA-2021-113278,HR-14770,47374.0,2021-01-14,S,2021-01-20
CA-2021-161956,DR-12880,90301.0,2021-08-27,2,2021-08-29
CA-2019-121720,JE-15610,33801.0,2019-06-11,1,2019-06-12
US-2020-110156,EH-13945,77041.0,2020-11-19,S,2020-11-24
CA-2021-102925,CD-12280,10024.0,2021-11-05,2,2021-11-10
US-2021-118087,SP-20620,19134.0,2021-09-09,S,2021-09-13
CA-2021-156776,JL-15505,92683.0,2021-08-07,S,2021-08-11
CA-2021-164756,SS-20140,31907.0,2021-09-18,S,2021-09-22
CA-2021-140872,NR-18550,33024.0,2021-06-03,S,2021-06-10
CA-2019-167010,VT-21700,19143.0,2019-04-05,S,2019-04-10
CA-2018-129364,TB-21250,97301.0,2018-12-08,S,2018-12-13
CA-2018-142769,RP-19390,98103.0,2018-09-13,0,2018-09-13
CA-2018-167927,XP-21865,48185.0,2018-01-20,S,2018-01-26
CA-2021-118017,LC-16870,80229.0,2021-12-03,2,2021-12-06
CA-2020-109666,KM-16720,10035.0,2020-04-19,S,2020-04-26
US-2021-147886,DH-13075,94533.0,2021-03-28,1,2021-03-31
CA-2020-111682,TB-21055,12180.0,2020-06-17,1,2020-06-18
CA-2018-145317,SM-20320,32216.0,2018-03-18,S,2018-03-23
CA-2021-121048,TC-21295,92683.0,2021-07-14,S,2021-07-18
CA-2018-165309,KD-16270,77095.0,2018-11-11,S,2018-11-15
US-2018-155502,SD-20485,22304.0,2018-01-26,S,2018-01-31
CA-2018-160766,DM-13015,10009.0,2018-09-14,0,2018-09-14
CA-2021-119284,TS-21205,37211.0,2021-06-15,S,2021-06-20
US-2019-126753,SP-20860,19134.0,2019-08-16,S,2019-08-20
CA-2021-112515,AS-10225,84604.0,2021-09-17,2,2021-09-21
CA-2020-109365,XP-21865,90049.0,2020-11-03,S,2020-11-08
CA-2021-151750,JM-15250,77340.0,2021-01-01,S,2021-01-05
CA-2019-165624,FH-14350,30318.0,2019-08-23,S,2019-08-28
US-2020-103674,AP-10720,90032.0,2020-12-06,S,2020-12-10
CA-2019-130974,MA-17560,2149.0,2019-11-27,2,2019-11-29
CA-2020-120824,AW-10930,77070.0,2020-06-12,2,2020-06-16
CA-2018-167199,ME-17320,42420.0,2018-01-06,S,2018-01-10
CA-2018-145387,AM-10705,2920.0,2018-10-31,2,2018-11-02
US-2020-139087,DK-13375,98105.0,2020-07-17,2,2020-07-22
CA-2020-145583,LC-16885,95661.0,2020-10-13,S,2020-10-19
CA-2019-162201,AG-10495,33710.0,2019-06-08,S,2019-06-12
US-2020-126452,SC-20230,90004.0,2020-08-21,S,2020-08-28
CA-2021-128363,DC-12850,38109.0,2021-08-13,S,2021-08-18
US-2020-125402,DL-12865,90805.0,2020-09-25,S,2020-10-01
CA-2018-108189,ES-14080,85281.0,2018-10-02,1,2018-10-05
CA-2020-145261,AH-10120,97301.0,2020-12-18,1,2020-12-21
CA-2021-104731,AM-10705,24153.0,2021-07-21,S,2021-07-27
US-2019-150630,TB-21520,19140.0,2019-09-17,S,2019-09-21
CA-2018-166863,SC-20020,75023.0,2018-06-20,S,2018-06-24
CA-2018-139892,BM-11140,78207.0,2018-09-08,S,2018-09-12
US-2020-167472,CK-12595,72209.0,2020-06-06,1,2020-06-07
CA-2019-112130,SV-20785,19140.0,2019-05-03,S,2019-05-07
US-2020-148901,MK-17905,32216.0,2020-05-14,S,2020-05-19
CA-2021-166093,RW-19540,94513.0,2021-08-17,S,2021-08-24
CA-2021-157966,SU-20665,60610.0,2021-03-13,0,2021-03-13
CA-2018-115812,BH-11710,90032.0,2018-06-09,S,2018-06-14
